,pitch_type,fastball,start_speed,zone,code,type,b_score,p_score,ab_id,pitch_num,b_count,s_count,outs,on_1b,on_2b,on_3b,event,inning,left_batter,top,weather,start_time,year,day_game,b_0,b_1,b_2,b_3,s_0,s_1,s_2,o_0,o_1,o_2,s_over_b,b_over_s,on_2b3b,inning_sq_root,after_4_inning,after_5_inning,firstball,first2ball,abs_diff,diff,tie,ahead,behind,tempature,more_than_70,last_pitch_type,last_fastball,last_code,last_type,last_b,last_s,last_inplay,last_contact,last_pitch,last_run,last_in_play_out,last_pa,last_num,game_pitch,last_over_9,over_30_pitches,last_pa_homerun,last_pa_double_triple,last_pa_long,last_pa_so,last_pa_bb,last_pa_dp,last_pa_out
25,FF,1,91.0,8.0,C,S,0,0,2015000643,1,0,0,2,0,0,0,Groundout,2,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1.4142135623730951,0,0,1,1,0,0,1,0,0,76,1,SL,0,S,S,0,1,0,0,S,0,0,Strikeout,4,25,0,0,0,0,0,1,0,0,1
26,FF,1,93.1,1.0,F,S,0,0,2015000643,2,0,1,2,0,0,0,Groundout,2,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1.4142135623730951,0,0,0,1,0,0,1,0,0,76,1,FF,1,C,S,0,1,0,0,S,0,0,Strikeout,4,25,0,0,0,0,0,1,0,0,1
27,SL,0,85.8,8.0,X,X,0,0,2015000643,3,0,2,2,0,0,0,Groundout,2,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1.4142135623730951,0,0,0,0,0,0,1,0,0,76,1,FF,1,F,S,0,1,0,1,S,0,0,Strikeout,4,25,0,0,0,0,0,1,0,0,1
28,FF,1,90.9,7.0,C,S,0,0,2015000647,1,0,0,0,0,0,0,Strikeout,3,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1.7320508075688772,0,0,1,1,0,0,1,0,0,76,1,SL,0,X,X,0,0,1,1,X,0,0,Flyout,3,28,0,0,0,0,0,0,0,0,1
29,FF,1,93.0,6.0,C,S,0,0,2015000647,2,0,1,0,0,0,0,Strikeout,3,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1.7320508075688772,0,0,0,1,0,0,1,0,0,76,1,FF,1,C,S,0,1,0,0,S,0,0,Flyout,3,28,0,0,0,0,0,0,0,0,1
30,FF,1,93.1,12.0,S,S,0,0,2015000647,3,0,2,0,0,0,0,Strikeout,3,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1.7320508075688772,0,0,0,0,0,0,1,0,0,76,1,FF,1,C,S,0,1,0,0,S,0,0,Flyout,3,28,0,0,0,0,0,0,0,0,1
31,FC,1,89.4,2.0,C,S,0,0,2015000648,1,0,0,1,0,0,0,Lineout,3,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1.7320508075688772,0,0,1,1,0,0,1,0,0,76,1,FF,1,S,S,0,1,0,0,S,0,0,Strikeout,3,31,0,1,0,0,0,1,0,0,1
32,FF,1,91.6,1.0,X,X,0,0,2015000648,2,0,1,1,0,0,0,Lineout,3,0,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1.7320508075688772,0,0,0,1,0,0,1,0,0,76,1,FC,1,C,S,0,1,0,0,S,0,0,Strikeout,3,31,0,1,0,0,0,1,0,0,1
33,FF,1,91.7,6.0,C,S,0,0,2015000649,1,0,0,2,0,0,0,Groundout,3,1,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1.7320508075688772,0,0,1,1,0,0,1,0,0,76,1,FF,1,X,X,0,0,1,1,X,0,0,Lineout,2,33,0,1,0,0,0,0,0,0,1
34,CU,0,80.2,8.0,X,X,0,0,2015000649,2,0,1,2,0,0,0,Groundout,3,1,1,"76 degrees, sunny",0 days 16:09:00,2015,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1.7320508075688772,0,0,0,1,0,0,1,0,0,76,1,FF,1,C,S,0,1,0,0,S,0,0,Lineout,2,33,0,1,0,0,0,0,0,0,1
